"특성별(1)",특성별(2),특성별(3),특성별(4),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"특성별(1)",특성별(2),특성별(3),특성별(4),배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행
"특성별(1)",특성별(2),특성별(3),특성별(4),이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용
"특성별(1)",특성별(2),특성별(3),특성별(4),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),무응답 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),모름 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),모름 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원)
"업종별",일반음식점,기타 외국식,소계,4.3,95.7,0.0,25.9,35.1,39.0,0.0,279009.2,3.2,96.8,34.4,0.0,0.0,65.6,979701.5,8.0,92.0,0.0,5.2,66.5,28.3,312090.6,5.2,94.8,0.0,0.0,37.2,62.8,645878.4,19.9,80.1,23.9,34.1,17.6,12.2,12.2,167259.6,16.3,83.7,0.0,20.2,48.6,14.9,16.3,675044.4,56.2,43.8,16.0,54.6,25.6,3.7,134898.4,47.2,52.8,0.0,18.2,47.6,34.2,437541.0
"업종별",일반음식점 외,소계,소계,9.3,90.7,8.1,31.6,51.3,8.5,0.5,255400.9,7.0,93.0,3.2,21.2,41.3,34.3,552760.5,13.1,86.9,5.2,19.7,61.5,13.6,301942.9,11.2,88.8,8.6,15.7,29.9,45.7,687662.7,23.0,77.0,5.3,26.8,43.8,19.8,4.3,366326.2,17.6,82.4,8.7,13.8,33.4,39.1,5.0,930372.0,32.6,67.4,5.3,43.6,35.2,15.9,278522.1,19.4,80.6,6.6,14.5,33.6,45.4,974610.8
"업종별",일반음식점 외,기관 구내식당업,소계,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-,-,-,-,-,0.0,100.0,-,-,-,-,-,0.0,100.0,-,-,-,-,-,-,0.0,100.0,-,-,-,-,-,-,0.0,100.0,-,-,-,-,-,0.0,100.0,-,-,-,-,-
"업종별",일반음식점 외,출장·이동음식점업,소계,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,98.5,0.0,42.6,57.4,0.0,143145.3,0.0,100.0,-,-,-,-,-,0.0,100.0,-,-,-,-,-,41.4,58.6,0.0,0.0,0.0,100.0,0.0,700000.0,41.4,58.6,0.0,0.0,100.0,0.0,0.0,390000.0,4.6,95.4,0.0,100.0,0.0,0.0,88000.0,4.6,95.4,0.0,0.0,0.0,100.0,3000000.0
"업종별",일반음식점 외,기타 음식점업,제과점,1.5,98.5,0.0,67.0,33.0,0.0,0.0,162679.1,1.9,98.1,21.9,52.3,25.8,0.0,131859.1,1.6,98.4,0.0,29.5,0.5,70.0,587611.8,2.8,97.2,0.0,17.3,41.5,41.2,388685.7,27.6,72.4,5.6,41.9,43.3,0.1,9.0,170315.3,19.6,80.4,17.0,38.8,24.4,11.2,8.6,240650.0,37.1,62.9,4.1,52.2,39.7,4.0,169115.2,23.6,76.4,9.2,24.7,39.1,27.0,841295.2
"업종별",일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,43.1,56.9,9.8,23.7,47.9,16.6,2.0,321533.1,38.2,61.8,3.8,15.9,39.3,41.0,712665.8,55.2,44.8,7.2,26.7,52.6,13.5,306955.0,49.4,50.6,1.9,16.5,35.5,46.2,706086.8,65.9,34.1,0.8,32.0,37.1,27.4,2.7,585980.0,61.8,38.2,8.0,11.1,32.6,46.7,1.6,1659689.4,79.0,21.0,7.6,31.6,38.4,22.4,383686.9,47.2,52.8,4.4,12.2,26.6,56.7,1684804.2
"업종별",일반음식점 외,기타 음식점업,치킨전문점,45.5,54.5,9.3,27.4,54.2,9.0,0.0,272610.0,31.8,68.2,3.8,10.5,46.8,38.9,522185.3,57.4,42.6,4.6,19.3,61.6,14.5,324037.5,49.2,50.8,9.9,10.6,29.6,49.9,793054.4,79.4,20.6,4.5,16.4,50.8,23.2,5.1,364211.2,61.6,38.4,4.0,10.9,32.2,48.5,4.4,919067.5,85.7,14.3,5.9,40.7,26.8,26.6,349261.7,45.6,54.4,3.7,15.3,22.9,58.0,1350476.9
"업종별",일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,6.4,93.6,9.1,66.4,24.5,0.0,0.0,117212.6,4.7,95.3,0.0,48.4,34.9,16.7,327223.8,7.3,92.7,8.9,31.2,49.5,10.4,181861.4,6.9,93.1,10.9,16.4,24.9,47.8,633979.9,24.9,75.1,5.1,39.5,32.9,19.2,3.3,364499.5,20.6,79.4,8.6,12.9,31.2,39.3,8.0,831200.3,46.0,54.0,5.1,37.8,45.1,12.1,267730.7,28.5,71.5,6.6,13.3,38.9,41.2,639736.4
"업종별",일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,1.7,98.3,0.0,58.5,41.5,0.0,0.0,176210.2,0.7,99.3,0.0,56.8,43.2,0.0,110257.6,10.0,90.0,0.0,19.3,64.0,16.7,565763.9,6.4,93.6,18.3,37.5,44.2,0.0,140688.4,22.2,77.8,3.8,30.7,50.5,15.0,0.0,319231.8,22.1,77.9,22.1,7.5,21.6,48.8,0.0,801439.0,33.0,67.0,0.0,51.9,24.2,23.9,308978.6,26.6,73.4,6.4,30.7,39.5,23.4,363757.3
"업종별",일반음식점 외,주점업,소계,2.2,97.8,2.4,28.1,69.5,0.0,0.0,201031.1,1.9,98.1,0.0,35.1,34.5,30.4,705415.4,2.0,98.0,10.3,4.4,80.8,4.6,243016.9,1.8,98.2,18.7,18.7,15.6,46.9,384897.2,5.7,94.3,3.4,7.3,64.4,23.3,1.6,387605.1,3.7,96.3,5.2,13.9,58.7,19.7,2.5,374274.7,8.4,91.6,7.4,29.3,48.1,15.2,286786.3,4.7,95.3,0.0,21.4,42.3,36.3,623469.2
"업종별",일반음식점 외,비알콜 음료점업,소계,2.5,97.5,0.0,41.5,58.5,0.0,0.0,172608.3,1.3,98.7,0.0,70.5,29.5,0.0,113823.2,6.6,93.4,0.0,6.7,80.6,12.7,240676.0,4.3,95.7,9.9,38.1,27.5,24.5,396138.2,14.0,86.0,13.6,40.0,31.3,9.8,5.3,205828.8,7.7,92.3,21.3,17.3,30.6,20.3,10.4,531550.6,27.6,72.4,3.3,61.1,30.6,4.9,161737.1,17.6,82.4,12.0,8.4,39.5,40.0,656562.9
"운영형태별",프랜차이즈,소계,소계,24.5,75.5,4.8,35.8,47.5,11.4,0.6,272511.0,17.6,82.4,3.9,20.6,34.5,41.0,582790.9,28.9,71.1,4.0,20.2,57.3,18.5,345949.5,24.8,75.2,8.4,16.8,30.5,44.3,712303.3,44.2,55.8,5.8,24.5,45.2,19.4,5.1,382144.4,33.3,66.7,8.2,12.4,35.6,39.1,4.7,1105907.8,62.1,37.9,4.2,39.7,38.4,17.7,290658.7,37.8,62.2,4.4,10.2,34.3,51.0,1047554.5
"운영형태별",비프랜차이즈,소계,소계,4.6,95.4,9.0,31.9,49.1,10.0,0.0,222154.1,3.2,96.8,7.4,26.8,45.0,20.8,358027.1,6.7,93.3,5.5,26.0,53.6,14.9,287838.1,6.2,93.8,5.7,18.2,43.7,32.3,510268.0,10.9,89.1,5.2,25.4,49.9,16.5,3.0,328638.7,8.8,91.2,5.8,15.7,41.5,33.0,4.0,1187110.9,17.8,82.2,6.5,44.5,35.0,13.9,249591.0,11.5,88.5,8.8,14.0,40.8,36.3,733172.4
"지역별",서울권,소계,소계,5.6,94.4,7.7,36.7,44.6,10.9,0.0,256369.6,1.9,98.1,1.2,51.1,25.9,21.8,430653.5,9.7,90.3,6.2,26.7,52.2,14.9,338523.9,7.0,93.0,11.1,24.7,26.9,37.3,729198.3,19.9,80.1,4.6,19.3,49.4,19.7,7.0,370048.4,16.8,83.2,3.5,9.6,33.2,48.0,5.6,2808205.3,29.9,70.1,10.1,26.3,43.9,19.7,304382.1,18.2,81.8,10.2,18.8,30.4,40.6,907059.1
"지역별",수도권,소계,소계,8.8,91.2,9.4,19.4,64.3,5.9,1.0,229720.4,4.5,95.5,12.6,19.9,52.8,14.7,325123.7,10.9,89.1,5.7,16.7,57.7,19.9,366492.6,10.2,89.8,4.3,16.4,41.4,37.9,594338.2,19.2,80.8,5.8,24.2,46.8,19.3,3.9,397012.7,13.3,86.7,11.3,16.8,27.3,40.8,3.8,823420.8,31.5,68.5,4.8,43.1,30.1,22.0,290221.8,16.2,83.8,1.7,8.9,40.1,49.3,961744.9
"지역별",충청권,소계,소계,6.6,93.4,0.0,30.2,50.5,19.4,0.0,232761.5,6.7,93.3,0.0,27.8,36.7,35.5,544541.1,10.2,89.8,0.0,25.5,67.0,7.5,280249.8,7.1,92.9,0.0,20.2,31.8,48.0,620168.2,23.7,76.3,7.9,12.3,49.0,27.5,3.3,460393.4,14.0,86.0,12.4,13.1,45.6,25.8,3.1,500146.9,33.8,66.2,1.6,67.7,13.1,17.7,241034.3,19.1,80.9,5.3,6.6,48.0,40.0,842071.1
"지역별",호남권,소계,소계,4.3,95.7,13.2,39.3,34.2,13.3,0.0,384615.8,3.4,96.6,6.4,20.1,32.5,41.1,754609.5,10.1,89.9,3.6,18.0,65.8,12.6,278019.6,10.6,89.4,0.7,7.6,41.3,50.4,716456.4,22.8,77.2,3.6,30.2,58.5,6.8,0.8,233607.4,21.2,78.8,1.1,1.6,71.3,22.3,3.6,493357.7,21.4,78.6,0.6,28.9,65.1,5.4,255146.2,18.6,81.4,2.6,3.8,53.5,40.1,535409.2
"지역별",경남권,소계,소계,8.7,91.3,7.1,70.3,20.2,2.4,0.0,118682.6,10.1,89.9,7.5,27.8,29.3,35.4,447273.9,16.1,83.9,4.0,31.7,45.6,18.7,283893.1,15.9,84.1,13.8,22.9,32.1,31.3,530281.5,18.7,81.3,3.1,34.1,43.2,13.9,5.7,311115.8,15.6,84.4,6.9,20.9,27.4,38.3,6.4,958058.3,31.6,68.4,3.1,43.9,47.3,5.8,206972.6,24.3,75.7,10.3,9.9,28.8,51.0,1136154.0
"지역별",경북권,소계,소계,10.3,89.7,4.0,17.1,58.8,20.2,0.0,350267.4,6.3,93.7,0.0,9.5,53.6,36.9,518547.4,8.0,92.0,6.6,10.0,63.4,20.0,353602.0,6.1,93.9,-,6.0,57.7,36.4,523039.2,15.2,84.8,9.5,43.1,29.6,14.6,3.2,263120.7,15.3,84.7,6.2,19.4,36.8,34.4,3.2,689385.6,22.7,77.3,8.0,35.8,42.7,13.5,329761.5,14.9,85.1,5.0,22.5,34.7,37.8,693056.7
"매출액규모별",5천만원 미만,소계,소계,2.2,97.8,0.0,31.2,21.6,47.2,0.0,309275.8,3.0,97.0,0.0,82.8,0.0,17.2,318275.9,2.0,98.0,0.0,40.3,59.7,0.0,178260.9,2.3,97.7,7.4,47.4,28.8,16.5,284928.1,6.4,93.6,4.7,30.9,57.1,3.5,3.8,187796.2,4.6,95.4,7.4,25.9,46.9,19.7,0.0,482341.2,9.9,90.1,6.2,68.4,23.3,2.1,159821.5,8.9,91.1,14.9,9.8,27.9,47.4,1058550.3
"매출액규모별",5천만원~1억원 미만,소계,소계,5.3,94.7,7.5,48.0,44.5,0.0,0.0,165670.9,4.0,96.0,16.1,29.4,27.8,26.7,297971.3,5.9,94.1,4.1,21.4,59.5,15.0,266616.3,5.5,94.5,9.8,23.8,33.8,32.7,529708.2,15.3,84.7,6.1,42.1,40.1,10.2,1.5,233843.1,12.7,87.3,7.1,17.0,53.0,19.9,3.1,417852.9,22.0,78.0,2.9,47.6,40.5,9.0,229175.9,10.6,89.4,13.2,14.7,35.2,36.8,935087.2
"매출액규모별",1억원~5억원 미만,소계,소계,9.7,90.3,7.5,31.6,50.3,10.6,0.0,249840.8,6.4,93.6,3.8,16.7,47.0,32.5,485437.2,13.8,86.2,5.2,23.7,56.3,14.8,313140.8,12.3,87.7,7.0,16.1,35.6,41.2,644305.3,23.2,76.8,5.1,22.1,47.9,20.3,4.7,382625.9,18.0,82.0,7.3,12.6,36.7,38.3,5.0,907715.3,36.2,63.8,5.8,39.9,36.3,18.0,280270.1,22.7,77.3,4.5,11.1,40.2,44.2,787753.4
"매출액규모별",5억원 이상,소계,소계,9.8,90.2,0.0,15.1,52.5,26.9,5.5,472087.7,8.5,91.5,0.0,19.9,38.9,41.2,1007804.8,19.1,80.9,0.0,10.8,33.9,55.2,559147.5,15.8,84.2,0.0,12.7,72.4,14.9,419694.2,28.1,71.9,9.1,13.6,48.9,22.9,5.6,492248.7,19.4,80.6,6.2,11.3,13.9,64.2,4.3,5115009.7,38.9,61.1,4.9,27.7,44.3,23.1,396119.1,32.9,67.1,5.6,17.4,21.6,55.4,1833396.7
